Time 	Torsional Angle 	Torsional Epsilon 3550 Torsion 	Torsional Torque 	Axial Epsilon 3550 Axial 
sec	°	°	in·lbf	in
171.01171875	48.0000320653055	-0.00502690708730561	-1.92773957228998	0.0198331123445271
171.021484375	47.998153763284	-0.00527171667517637	-2.56713929716673	0.0198327296406148
171.03125	48.0026207070006	-0.0054389729334872	-2.32596947096545	0.0198333690082288
171.041015625	48.002576310771	-0.00528599862407438	-1.62191455370956	0.0198325256846376
171.05078125	48.0023645749068	-0.0049773857145395	-2.51873329931972	0.0198317419436914
171.060546875	48.0030066126887	-0.00500280674147699	-1.86068206932205	0.0198320581900381
171.0703125	47.9974946500292	-0.00499947502322506	-2.56711872288993	0.0198330894281252
171.080078125	48.000455537034	-0.0050089932653582	-2.53299813123209	0.0198335912973275
171.08984375	48.0005579898715	-0.00529232897212938	-1.6958719569286	0.0198308757036983
171.099609375	48.0037989146323	-0.00529280671851535	-2.72190692041477	0.0198313684063399
171.109375	48.0010907446267	-0.00504137788359702	-2.12218442456765	0.0198321269392439
171.119140625	47.9999159520896	-0.00520340352768026	-2.0644330890313	0.0198299544643405
171.12890625	47.9993080652536	-0.0050817599596618	-2.68254147081045	0.0198330963030458
171.138671875	47.9992978199698	-0.00529919292871321	-1.71241182906368	0.0198315631957563
171.1484375	48.003143216472	-0.00530805541599021	-2.49516994938637	0.0198325944338434
171.158203125	48.0029553862699	-0.00506400080081142	-2.17049599175962	0.019831666319565
171.16796875	48.0005477445878	-0.0050999622637201	-2.18247035274167	0.0198325829756424
171.177734375	48.001285405018	-0.00505411653657803	-2.70006996332288	0.0198321498556459
171.1875	47.9968526122473	-0.00513497907278008	-2.08409497578389	0.0198317075690885
171.197265625	48.0009678012217	-0.00540205639468823	-2.32706280913625	0.0198327342238952
171.20703125	48.0017054616519	-0.00520295913182733	-2.16642769229585	0.0198314715301486
171.216796875	48.0027948768244	-0.0052462060186813	-1.98364291573353	0.0198328556808254
171.2265625	48.0002369709806	-0.00497882895885734	-2.65652213252769	0.0198314715301486
171.236328125	47.9975083104075	-0.00508030462577572	-2.40524928132812	0.0198321567305664
171.24609375	47.9992978199698	-0.00536297457253084	-2.14649477901239	0.0198311873667646
171.255859375	47.999427593564	-0.00531045456996166	-2.44011608617901	0.0198310429934324
171.265625	48.0023884805689	-0.00529831539281227	-2.10399175219657	0.0198315379877142
171.275390625	48.0022928579205	-0.00525023726436401	-2.2909006161655	0.0198330848448448
171.28515625	48.0027060843652	-0.004982549627701	-2.41656144074738	0.0198299430061396
171.294921875	47.9993388011048	-0.00503254874685308	-2.07954542288403	0.0198332338014574
